Time, Energy
0.027900,6.077370
0.028000,6.089304
0.028100,6.100692
0.028200,6.111529
0.028300,6.121807
0.028400,6.131519
0.028500,6.140655
0.028600,6.149205
0.028700,6.157158
0.028800,6.164503
0.028900,6.171229
0.029000,6.177325
0.029100,6.182781
0.029200,6.187589
0.029300,6.191739
0.029400,6.195224
0.029500,6.198037
0.029600,6.200174
0.029700,6.201630
0.029800,6.202404
0.029900,6.202494
0.030000,6.201899
0.030100,6.200619
0.030200,6.198655
0.030300,6.196008
0.030400,6.192682
0.030500,6.188681
0.030600,6.184010
0.030700,6.178673
0.030800,6.172678
0.030900,6.166033
0.031000,6.158749
0.031100,6.150839
0.031200,6.142312
0.031300,6.133178
0.031400,6.123440
0.031500,6.113102
0.031600,6.102172
0.031700,6.090656
0.031800,6.078562
0.031900,6.065899
0.032000,6.052679
0.032100,6.038912
0.032200,6.024610
0.032300,6.009789
0.032400,5.994464
0.032500,5.978652
0.032600,5.962376
0.032700,5.945656
0.032800,5.928515
0.032900,5.910977
0.033000,5.893065
0.033100,5.874804
0.033200,5.856221
0.033300,5.837341
0.033400,5.818192
0.033500,5.798803
0.033600,5.779208
0.033700,5.759439
0.033800,5.739532
0.033900,5.719524
0.034000,5.699454
0.034100,5.679366
0.034200,5.659307
0.034300,5.639324
0.034400,5.619466
0.034500,5.599783
0.034600,5.580327
0.034700,5.561146
0.034800,5.542291
0.034900,5.523808
0.035000,5.505743
0.035100,5.488139
0.035200,5.471040
0.035300,5.454485
0.035400,5.438511
0.035500,5.423157
0.035600,5.408457
0.035700,5.394444
0.035800,5.381153
0.035900,5.368612
0.036000,5.356851
0.036100,5.345893
0.036200,5.335761
0.036300,5.326473
0.036400,5.318043
0.036500,5.310485
0.036600,5.303805
0.036700,5.298010
0.036800,5.293103
0.036900,5.289082
0.037000,5.285943
0.037100,5.283681
0.037200,5.282284
0.037300,5.281738
0.037400,5.282026
0.037500,5.283127
0.037600,5.285015
0.037700,5.287662
0.037800,5.291036
0.037900,5.295102
0.038000,5.299825
0.038100,5.305163
0.038200,5.311074
0.038300,5.317512
0.038400,5.324426
0.038500,5.331767
0.038600,5.339479
0.038700,5.347510
0.038800,5.355799
0.038900,5.364288
0.039000,5.372909
0.039100,5.381593
0.039200,5.390271
0.039300,5.398872
0.039400,5.407326
0.039500,5.415566
0.039600,5.423529
0.039700,5.431156
0.039800,5.438396
0.039900,5.445202
0.040000,5.451528
0.040100,5.457333
0.040200,5.462581
0.040300,5.467236
0.040400,5.471264
0.040500,5.474628
0.040600,5.477288
0.040700,5.479209
0.040800,5.480358
0.040900,5.480704
0.041000,5.480219
0.041100,5.478877
0.041200,5.476662
0.041300,5.473561
0.041400,5.469568
0.041500,5.464676
0.041600,5.458883
0.041700,5.452194
0.041800,5.444614
0.041900,5.436157
0.042000,5.426831
0.042100,5.416648
0.042200,5.405624
0.042300,5.393777
0.042400,5.381131
0.042500,5.367712
0.042600,5.353549
0.042700,5.338674
0.042800,5.323126
0.042900,5.306951
0.043000,5.290190
0.043100,5.272886
0.043200,5.255085
0.043300,5.236831
0.043400,5.218173
0.043500,5.199157
0.043600,5.179831
0.043700,5.160245
0.043800,5.140446
0.043900,5.120477
0.044000,5.100384
0.044100,5.080209
0.044200,5.060004
0.044300,5.039818
0.044400,5.019704
0.044500,4.999716
0.044600,4.979907
0.044700,4.960331
0.044800,4.941040
0.044900,4.922088
0.045000,4.903524
0.045100,4.885400
0.045200,4.867764
0.045300,4.850661
0.045400,4.834138
0.045500,4.818237
0.045600,4.803002
0.045700,4.788472
0.045800,4.774685
0.045900,4.761678
0.046000,4.749485
0.046100,4.738135
0.046200,4.727657
0.046300,4.718077
0.046400,4.709416
0.046500,4.701696
0.046600,4.694936
0.046700,4.689157
0.046800,4.684376
0.046900,4.680613
0.047000,4.677886
0.047100,4.676213
0.047200,4.675606
0.047300,4.676069
0.047400,4.677603
0.047500,4.680207
0.047600,4.683875
0.047700,4.688600
0.047800,4.694368
0.047900,4.701159
0.048000,4.708954
0.048100,4.717728
0.048200,4.727453
0.048300,4.738107
0.048400,4.749666
0.048500,4.762103
0.048600,4.775390
0.048700,4.789498
0.048800,4.804397
0.048900,4.820053
0.049000,4.836430
0.049100,4.853487
0.049200,4.871179
0.049300,4.889464
0.049400,4.908298
0.049500,4.927637
0.049600,4.947440
0.049700,4.967665
0.049800,4.988279
0.049900,5.009250
0.050000,5.030544
0.050100,5.052132
0.050200,5.073982
0.050300,5.096062
0.050400,5.118340
0.050500,5.140777
0.050600,5.163331
0.050700,5.185958
0.050800,5.208616
0.050900,5.231263
0.051000,5.253861
0.051100,5.276368
0.051200,5.298750
0.051300,5.320977
0.051400,5.343022
0.051500,5.364857
0.051600,5.386460
0.051700,5.407806
0.051800,5.428874
0.051900,5.449643
0.052000,5.470095
0.052100,5.490209
0.052200,5.509966
0.052300,5.529349
0.052400,5.548342
0.052500,5.566928
0.052600,5.585089
0.052700,5.602810
0.052800,5.620076
0.052900,5.636875
0.053000,5.653195
0.053100,5.669025
0.053200,5.684356
0.053300,5.699181
0.053400,5.713490
0.053500,5.727278
0.053600,5.740539
0.053700,5.753269
0.053800,5.765464
0.053900,5.777122
0.054000,5.788244
0.054100,5.798828
0.054200,5.808877
0.054300,5.818390
0.054400,5.827371
0.054500,5.835822
0.054600,5.843750
0.054700,5.851160
0.054800,5.858059
