Volume(Å), Energy
64.000000,-13.431499
64.436482,-13.436552
64.874945,-13.439858
65.315392,-13.441511
65.757828,-13.438878
66.202257,-13.437508
66.648685,-13.434845
67.097115,-13.430554
67.547552,-13.424821
